label,n_buckets,median_usd,p90_usd,p99_usd,p999_usd,max_usd,median_bps,p90_bps,p99_bps,p999_bps,max_bps,frac_single_obs
ALL_VENUES_POOLED,6710393,0.0,0.005000000004656613,8.19999999999709,19.60000000000582,540.6849999999977,0.0,0.0007189732045526674,1.1561085218621854,2.7651596820454025,78.96943416910993,0.2700487139873924
bybit,1315674,0.0,0.5,9.0,20.69999999999709,126.20000000001164,0.0,0.07526046968918731,1.2685038646731042,2.919471312320376,18.221682213575104,0.24404069701156975
cb,1069589,0.0,0.47500000000582077,6.065000000002328,15.262059999999297,135.3399999999965,0.0,0.06752252381409135,0.8608242363534983,2.1480511999129495,19.55130237763375,0.6089367037245147
okx,1470618,0.0,0.0,9.0,20.69999999999709,162.70000000001164,0.0,0.0,1.2778417951605203,2.925890944035731,23.408842557191118,0.19602847238371895
perp,1535476,0.0,0.0,8.400000000008731,19.67624999999505,444.6000000000058,0.0,0.0,1.1932922934393582,2.763893665408701,64.23467762383788,0.1467844499034827
spot,1319036,0.0,0.0,7.3399999999965075,19.89964999999571,540.6849999999977,0.0,0.0,1.035287285286926,2.818750800240989,78.96943416910993,0.24720780933954797
