excursion_label,excursion_usd,tte_s,sigma_usd,z,p_after,delta_p_cents
p99_pooled,8.19999999999709,240,223.60679774997897,0.036671514830983534,0.5091668514322865,0.916685143228646
p99_pooled,8.19999999999709,120,158.11388300841898,0.05186135362674301,0.5129624332235464,1.29624332235464
p99_pooled,8.19999999999709,30,79.05694150420949,0.10372270725348602,0.525907454080877,2.5907454080877024
p99.9_pooled,19.60000000000582,240,223.60679774997897,0.08765386471801778,0.5218994464890686,2.189944648906861
p99.9_pooled,19.60000000000582,120,158.11388300841898,0.12396128427863727,0.5309506978160816,3.095069781608162
p99.9_pooled,19.60000000000582,30,79.05694150420949,0.24792256855727454,0.5616651083318559,6.1665108331855905
max_pooled,540.6849999999977,240,223.60679774997897,2.418016828828937,0.9181908994082894,41.81908994082894
max_pooled,540.6849999999977,120,158.11388300841898,3.4195921933762654,0.9683112606423679,46.83112606423679
max_pooled,540.6849999999977,30,79.05694150420949,6.839184386752531,0.9989301692175014,49.893016921750146
