src	date	n	offset_ms	iqr_ms
tdb_old	2026-08-14	5688	-0.09989738464355469	100.80146789550781
tdb_old	2026-08-15	5248	1.583099365234375	76.16263628005981
tdb_old	2026-08-16	5378	1.855611801147461	84.29443836212158
tdb_old	2026-08-17	6054	9.358525276184082	61.03706359863281
tdb_old	2026-08-18	5536	10.939836502075195	54.151952266693115
tdb_old	2026-08-19	4644	16.810178756713867	51.67299509048462
tdb_old	2026-08-20	5072	27.726054191589355	69.40919160842896
tdb_old	2026-08-21	4678	23.548603057861328	56.71721696853638
tdb_old	2026-08-22	4742	21.32546901702881	53.57706546783447
tdb_old	2026-08-23	3093	22.14503288269043	65.21987915039062
tdb_old	2026-08-24	4827	21.926403045654297	60.02402305603027
tdb_old	2026-08-25	5897	37.46438026428223	134.40680503845215
tdb_old	2026-08-26	5518	59.55851078033447	187.8572702407837
tdb_old	2026-08-27	6140	58.516740798950195	189.06736373901367
tdb_old	2026-08-28	7077	73.73261451721191	224.92170333862305
tdb_old	2026-08-29	7892	65.66309928894043	232.45704174041748
tdb_old	2026-08-30	7231	53.17974090576172	169.7549819946289
tdb_old	2026-08-31	5072	48.86937141418457	155.7578444480896
tdb_old	2026-09-01	5593	40.21573066711426	170.19104957580566
tdb_old	2026-09-02	5533	30.678272247314453	135.467529296875
tdb_old	2026-09-03	5708	40.2446985244751	166.19247198104858
tdb_old	2026-09-04	6082	34.00015830993652	42.999982833862305
tdb_old	2026-09-05	3672	-6.999969482421875	36.84037923812866
tdb_live	2026-09-05	2205	15.054464340209961	63.05432319641113
tdb_live	2026-09-06	6101	14.803171157836914	71.72322273254395
tdb_live	2026-09-07	5633	15.145540237426758	64.71133232116699
tdb_live	2026-09-08	3284	18.704652786254883	60.384511947631836
