market_id	n	coverage	reason
20356824558111971780809458318199542639522366615809700941384893309703068841941	2550	0.85	coverage_below_90pct
89414889946237531484926143111550241524180296944608394063790247158181805699819	2594	0.8646666666666667	coverage_below_90pct
49152376872468829519838999192693132722314488618077516702249252462500726624707	2597	0.8656666666666667	coverage_below_90pct
77448736632225641986602204226264486544444032790903405473178016995154322471875	2893	0.9643333333333334	no_open_10s
33624223994378110854471178309233045237840245844370931421891765576670676514767	2613	0.871	no_close_10s
33457760372629668094289222969583796897566732659169682566947967115108289945832	2569	0.8563333333333333	no_open_10s
102811938431478449010553403122215921673605209902816148626189564551116829957484	2256	0.752	no_open_10s
102925587657374002750282108319836232602102859916736481131109648224749180160188	2606	0.8686666666666667	no_open_10s
89673368447887569592533292798157923607322790523210224052561294185511898824447	2839	0.9463333333333334	no_open_10s
19578331274407019678870130393891971388710000171269701219316883408822175098083	2591	0.8636666666666667	coverage_below_90pct
93125639216766377685652204792848638218630377784625728867760293750186466732466	2812	0.9373333333333334	no_close_10s
76224813604031858332413918104811254816516417817778060272191558116787095661267	2826	0.942	no_close_10s
84233084765932774490735162902743523745375692597285786695501431666475608284162	2743	0.9143333333333333	no_close_10s
69652019254599956422592754455906349416805197307271551596135740229296986412641	2588	0.8626666666666667	no_close_10s
9256620954550800462568283076975513365646046392057370015747198021290311979115	2764	0.9213333333333333	no_close_10s
84803758260783444252199437640107872195420587942859473283864870618865398286865	1282	0.42733333333333334	no_open_10s
105531529583340414771859691101958673995832830578684367296120294550807839869986	2654	0.8846666666666667	no_close_10s
100556202915779895602586020414430867023426296240912333256993650161520744311843	2014	0.6713333333333333	no_close_10s
45597777684163524176091098999232525649967327866302167212277522719620935049672	2248	0.7493333333333333	no_close_10s
35770064589427411589534379858359972253444397838224072061900090600543504124690	1848	0.616	no_close_10s
79943117431332447334408840128207608330344765813056033624301623333214386193175	2510	0.8366666666666667	no_close_10s
111844357205294330490696832605380286474858584540116688991835866136584499446207	1024	0.3413333333333333	no_close_10s
78571271233576151454907894111472672601971726266086335528569470760914457058623	2512	0.8373333333333334	no_close_10s
80839102923192225294197294431080812383093329673901580942503711341648333456565	2691	0.897	no_close_10s
95427430722480031955514834030430538073304803084421647170921604757394659233411	2826	0.942	no_close_10s
10523463856235847511050941743778368785518080887023383294688423296327790563790	2887	0.9623333333333334	no_open_10s
39530512129515147217711826037800408934070915834472837737143938378717904924824	2645	0.8816666666666667	no_open_10s
13784663469685369489266353062220682834102948700390546097960600784567783822411	2582	0.8606666666666667	coverage_below_90pct
34620455748874253616782141423834227566562663503876268545388980036013871769931	2631	0.877	coverage_below_90pct
104610188524446455696896389154771106474052499618424592227151069873711272759911	2758	0.9193333333333333	no_close_10s
94263804864784068851287787810354474297573981228592133183576186962769184784488	2866	0.9553333333333334	no_open_10s
71344873060497170465961382817026046051937280490902843617331704701633777511623	2604	0.868	coverage_below_90pct
78901922801620786721938807202672349018669842732700974934695595002868474327166	2821	0.9403333333333334	no_close_10s
29616198323186849293473222909617904525413844585009256234945848753272109149351	2560	0.8533333333333334	no_close_10s
8286121796984434544557388175785902001345972730499055049910918843085719097114	2440	0.8133333333333334	coverage_below_90pct
55294273675834572826714260239912009818677130820419750894345069228834988106440	2625	0.875	coverage_below_90pct
71308292133343397516498430799656725278136076208724212659052320362830366131401	2439	0.813	coverage_below_90pct
7943546515429479856988030231949548694302783178027720166314308772582136024564	2940	0.98	no_strike
59453842481207685737227411895299898384659279890561997927489426153721124854052	2940	0.98	no_strike
83719805573855301203914186253145453806097315813560332351707427102203350938618	2940	0.98	no_strike
39190482553234820855134161030571046334709156644434693317291034745782739220552	2940	0.98	no_strike
92678197803730910073704635461774384117707765691704356877024449536492652360738	2939	0.9796666666666667	no_strike
26006266122691995304720071987682220610901573860631945848533965985723513652999	2940	0.98	no_strike
30340113130444584459166419910068605229545694968972003975314850421886912638410	2940	0.98	no_strike
37402842062423728144412451116818532549491691062344263529822955948151039828325	2940	0.98	no_strike
91936527808778517905279204903788439824505516707046277425881426797138683060163	2940	0.98	no_strike
103982003436746818888949918976537057932964825824115458384095239614531240096167	2940	0.98	no_strike
53816529650767160797440461782951975798353700278708976103709009219122190525213	2940	0.98	no_strike
13000447825967668119555994235248763170873464434432741326471163422384515294683	2850	0.95	no_strike
106693990136854650894309713785458686119422895288995312238010011398296740202990	2940	0.98	no_strike
871223203888783218573762696598707107381754562573490388076410081908095092681	2939	0.9796666666666667	no_strike
78571058088058006003918801708563497689723816282744933174407952363423095852148	2940	0.98	no_strike
77792522068859934581244552797383322176070670189062992535672611213442956075134	2940	0.98	no_strike
14655897902433678393577903210499126537996688816132092995411447295342224475238	2940	0.98	no_strike
72521916508114057557899880888316163210908869903011773440771003409920672203097	2940	0.98	no_strike
4945462450064659131921018784240078505138527213224629825361712924115149031354	2940	0.98	no_strike
76266757244286248998009032203873676012987486486375811695002655493532209709082	2940	0.98	no_strike
82588786873762903432557182071382970579494044687001145529028529401589766693160	2940	0.98	no_strike
12811401966698703246706703229699464695224594003524908105688615324017037062475	2940	0.98	no_strike
84833462371722220197573754422341669844605228024791278015812974078014410655723	2940	0.98	no_strike
104575195376180054690665528843862064854338945347660602905318075092056311854674	2940	0.98	no_strike
